itn_inner,itn_outer,itn_thickness,sale_deliverydate,sale_count,stnd_name
17.0,25.0,0.75,2025-W15,8000,SWT671
17.0,25.0,0.75,2025-W01,7500,SWT671
38.0,51.5,2.0,2024-W45,2000,SWT671
13.0,27.0,0.3,2024-W10,15000,Surface: Zinc plated 20 µm
13.0,45.0,8.0,2024-W16,2100,St50-2K
13.0,45.0,8.0,2024-W04,2700,St50-2K
45.0,55.0,111.0,2024-W03,6,St37-2 (S235JR)
112.5,124.25,1.0,2024-W44,300,St37-2 (S235JR)
55.0,84.0,1.0,2024-W44,400,St37-2 (S235JR)
21.0,30.0,3.0,2025-W14,2600,ST37 swt671
11.0,50.0,3.0,2024-W21,1000,ST37
0.0,24.0,2.0,2023-W51,1000,ST2K60
53.5,86.0,1.9,2024-W08,2000,ST2K60
35.306,56.896,0.127,2023-W52,1000,ST2K60
35.31,56.9,0.25,2024-W04,1000,ST2K60
53.5,86.0,2.5,2024-W04,2000,ST2K60
53.5,86.0,2.3,2024-W04,2000,ST2K60
61.0,105.0,0.7,2024-W04,1000,ST2K60
47.5,71.5,0.15,2024-W10,6000,ST2K60
33.25,80.4,1.9,2023-W04,2500,ST2K60
53.5,86.0,2.4,2024-W08,3500,ST2K60
61.0,105.0,0.3,2024-W04,2000,ST2K60
33.25,80.4,2.0,2024-W12,2500,ST2K60
16.0,25.0,0.3,2024-W12,14500,ST2K60
19.0,26.0,1.0,2024-W12,2000,ST2K60
0.0,24.0,0.8,2024-W12,1000,ST2K60
33.25,80.4,2.2,2023-W44,1000,ST2K60
38.0,50.0,0.25,2023-W44,2000,ST2K60
44.5,66.0,2.4,2023-W44,1000,ST2K60
61.0,105.0,0.3,2023-W44,1000,ST2K60
10.25,40.65,0.15,2023-W32,1000,ST2K60
39.6,62.7,2.1,2023-W36,5000,ST2K60
38.0,80.4,2.15,2023-W34,225,ST2K60
39.6,62.7,2.4,2023-W36,5000,ST2K60
38.61,63.5,0.127,2023-W46,5000,ST2K60
56.0,93.5,1.0,2023-W44,2000,ST2K60
44.5,66.0,2.7,2023-W40,1000,ST2K60
44.5,66.0,2.8,2023-W40,1000,ST2K60
44.5,66.0,3.0,2023-W40,1000,ST2K60
10.25,40.65,0.05,2023-W40,1000,ST2K60
53.5,86.0,1.8,2023-W42,2000,ST2K60
44.5,66.0,2.9,2024-W02,1000,ST2K60
44.5,66.0,2.2,2024-W01,1000,ST2K60
22.0,32.0,0.2,2023-W51,1000,ST2K60
51.56,82.55,0.38,2023-W51,500,ST2K60
51.56,82.55,0.38,2023-W51,500,ST2K60
39.6,62.7,2.0,2023-W51,1000,ST2K60
51.56,82.55,0.127,2023-W51,2000,ST2K60
51.0,90.0,0.6,2023-W51,2771,ST2K60
68.0,88.7,1.0,2023-W51,4000,ST2K60
52.5,80.0,2.1,2023-W51,1000,ST2K60
52.5,80.0,1.8,2023-W51,1000,ST2K60
52.5,80.0,2.0,2023-W51,1000,ST2K60
52.5,80.0,2.2,2023-W51,1000,ST2K60
52.5,80.0,2.5,2023-W51,1000,ST2K60
52.5,80.0,2.6,2023-W51,1000,ST2K60
51.0,80.0,2.4,2023-W51,1000,ST2K60
51.0,80.0,2.2,2023-W51,1000,ST2K60
61.0,105.0,0.7,2023-W51,1000,ST2K60
51.0,80.0,2.1,2023-W51,2250,ST2K60
51.0,80.0,2.6,2023-W51,2250,ST2K60
61.0,105.0,1.7,2023-W51,1000,ST2K60
22.0,32.0,0.2,2024-W03,2000,ST2K60
47.5,71.5,0.15,2023-W03,5000,ST2K60
35.31,56.9,0.127,2024-W14,1000,ST2K60
10.25,40.65,0.25,2023-W32,2000,ST2K60
61.0,105.0,1.7,2023-W46,2000,ST2K60
68.0,88.7,0.25,2023-W50,7000,ST2K60
61.0,105.0,1.5,2023-W40,1000,ST2K60
68.0,88.7,0.1,2023-W40,2850,ST2K60
44.5,66.0,2.6,2023-W40,900,ST2K60
61.0,105.0,1.5,2023-W40,1500,ST2K60
16.0,25.0,0.3,2023-W48,9500,ST2K60
35.31,56.9,0.127,2023-W52,1000,ST2K60
35.31,56.9,0.127,2024-W14,3000,ST2K60
35.31,56.9,0.25,2024-W14,3000,ST2K60
45.98,63.5,0.127,2024-W14,1000,ST2K60
61.0,105.0,1.7,2024-W14,5000,ST2K60
61.0,105.0,1.5,2024-W30,4850,ST2K60
61.0,105.0,0.5,2024-W14,5000,ST2K60
61.0,105.0,0.7,2024-W14,5000,ST2K60
61.0,105.0,1.2,2024-W14,5000,ST2K60
61.0,105.0,1.0,2024-W14,5000,ST2K60
33.25,80.4,2.4,2024-W14,1500,ST2K60
38.0,80.4,1.75,2024-W14,1000,ST2K60
53.5,86.0,1.8,2024-W14,2500,ST2K60
53.5,86.0,2.2,2024-W14,3000,ST2K60
38.0,80.4,2.25,2024-W14,1000,ST2K60
22.0,32.0,0.2,2024-W20,2000,ST2K60
48.0,76.3,0.75,2024-W20,2000,ST2K60
13.0,25.0,0.05,2025-W02,2682,ST2K60
33.25,80.4,1.9,2025-W08,1000,ST2K60
39.6,62.7,1.7,2025-W08,2000,ST2K60
39.6,62.7,2.2,2025-W08,2500,ST2K60
39.6,62.7,1.9,2025-W08,2500,ST2K60
39.6,62.7,2.0,2025-W08,2500,ST2K60
33.25,80.4,2.4,2025-W08,1500,ST2K60
97.0,109.5,0.5,2025-W08,750,ST2K60
33.25,80.4,2.0,2025-W08,2500,ST2K60
56.5,85.0,1.9,2025-W08,1000,ST2K60
37.5,55.0,2.3,2025-W08,2500,ST2K60
38.0,50.0,0.25,2025-W10,5000,ST2K60
40.0,47.0,1.5,2025-W08,1800,ST2K60
54.356,91.44,0.25,2025-W09,413,ST2K60
16.0,25.0,0.3,2025-W09,17507,ST2K60
13.0,25.0,0.05,2025-W07,1224,ST2K60
38.61,63.5,0.127,2024-W48,5000,ST2K60
54.356,91.44,0.5,2024-W48,500,ST2K60
54.356,91.44,0.25,2024-W48,500,ST2K60
40.0,47.0,1.15,2025-W02,4000,ST2K60
13.0,25.0,0.05,2024-W33,1224,ST2K60
57.65,95.25,0.25,2024-W49,1000,ST2K60
38.0,50.0,0.4,2025-W05,7000,ST2K60
51.56,82.55,0.25,2025-W05,1500,ST2K60
41.91,66.548,0.254,2025-W05,1500,ST2K60
39.6,62.7,2.5,2024-W50,2000,ST2K60
52.5,80.0,2.6,2024-W50,2000,ST2K60
38.0,80.4,2.0,2025-W05,1000,ST2K60
38.0,80.4,2.4,2025-W05,1000,ST2K60
68.0,88.7,0.25,2025-W06,5677,ST2K60
39.6,62.7,1.8,2025-W07,1458,ST2K60
39.6,62.7,2.3,2025-W07,2500,ST2K60
51.0,80.0,2.4,2025-W16,3000,ST2K60
56.5,85.0,2.2,2025-W16,300,ST2K60
43.0,66.0,2.5,2025-W16,200,ST2K60
45.98,63.5,0.127,2025-W16,2500,ST2K60
54.356,91.44,0.5,2025-W07,500,ST2K60
68.0,88.7,1.0,2025-W11,4000,ST2K60
44.5,66.0,1.8,2023-W41,1000,ST2K60
44.5,66.0,2.0,2023-W41,1000,ST2K60
44.5,66.0,2.3,2023-W41,1000,ST2K60
68.0,88.7,0.5,2023-W40,5000,ST2K60
68.0,88.7,0.25,2023-W40,7000,ST2K60
68.0,88.7,0.1,2023-W40,7000,ST2K60
52.5,80.0,1.9,2023-W36,3000,ST2K60
56.0,93.5,0.15,2023-W36,1000,ST2K60
39.6,62.7,1.8,2023-W42,1000,ST2K60
47.0,71.5,1.2,2023-W36,1000,ST2K60
16.0,25.0,0.3,2023-W38,20000,ST2K60
35.306,56.896,0.25,2023-W40,2000,ST2K60
38.61,63.5,0.25,2023-W40,5000,ST2K60
51.0,80.0,2.5,2023-W40,2250,ST2K60
53.5,86.0,2.3,2023-W22,2000,ST2K60
53.5,86.0,1.9,2023-W22,2000,ST2K60
53.5,86.0,2.5,2023-W22,2000,ST2K60
53.5,86.0,2.6,2023-W22,2000,ST2K60
61.0,105.0,0.7,2023-W22,1000,ST2K60
68.0,88.7,0.1,2023-W22,4409,ST2K60
68.0,88.7,1.0,2023-W23,1130,ST2K60
68.0,88.7,0.5,2023-W23,1660,ST2K60
68.0,88.7,1.0,2023-W23,1280,ST2K60
68.0,88.7,0.5,2023-W23,1950,ST2K60
68.0,88.7,0.25,2023-W23,4650,ST2K60
68.0,88.7,1.0,2023-W23,1250,ST2K60
56.5,85.0,2.2,2023-W13,1000,ST2K60
52.5,80.0,2.3,2023-W08,2000,ST2K60
0.0,24.0,0.8,2023-W15,1000,ST2K60
52.5,80.0,1.8,2023-W05,600,ST2K60
16.0,25.0,0.3,2023-W20,13870,ST2K60
68.0,88.7,0.5,2023-W20,1742,ST2K60
56.5,85.0,1.8,2023-W16,1000,ST2K60
68.0,88.7,0.25,2023-W18,5500,ST2K60
35.0,45.0,0.1,2023-W30,1000,ST2K60
44.5,66.0,2.5,2023-W40,1000,ST2K60
68.0,88.7,0.25,2023-W36,2700,ST2K60
33.25,80.4,2.0,2023-W36,1000,ST2K60
68.0,88.7,0.5,2023-W36,1675,ST2K60
53.5,86.0,2.6,2023-W36,4500,ST2K60
53.5,86.0,2.3,2023-W36,4500,ST2K60
53.5,86.0,2.4,2023-W36,3500,ST2K60
53.5,86.0,2.5,2023-W36,4500,ST2K60
53.5,86.0,2.2,2023-W36,4000,ST2K60
52.5,80.0,2.4,2023-W36,1000,ST2K60
53.5,86.0,2.1,2023-W36,5000,ST2K60
53.5,86.0,2.0,2023-W36,5000,ST2K60
53.5,86.0,1.9,2023-W36,5000,ST2K60
51.0,80.0,2.3,2023-W36,1000,ST2K60
53.5,86.0,2.4,2023-W09,3500,ST2K60
53.5,86.0,2.2,2023-W09,2000,ST2K60
53.5,86.0,1.8,2023-W02,3800,ST2K60
10.0,16.0,2.0,2023-W27,500000,ST2K60
30.5,38.0,1.0,2023-W23,14000,ST2K60
