itn_inner;itn_outer;itn_thickness;sale_deliverydate;sale_count;stnd_name
17;25;0.75;2025-W15;8000;SWT671
17;25;0.75;2025-W01;7500;SWT671
38;51.50;2.00;2024-W45;2000;SWT671
13;27;0.30;2024-W10;15000;"Surface: Zinc plated 20 µm"
13;45;8.00;2024-W16;2100;St50-2K
13;45;8.00;2024-W04;2700;St50-2K
45;55;111.00;2024-W03;6;"St37-2 (S235JR)"
112.50;124.25;1.00;2024-W44;300;"St37-2 (S235JR)"
55;84;1.00;2024-W44;400;"St37-2 (S235JR)"
21;30;3.00;2025-W14;2600;"ST37 swt671"
11;50;3.00;2024-W21;1000;ST37
0;24;2.00;2023-W51;1000;ST2K60
53.50;86;1.90;2024-W08;2000;ST2K60
35.306;56.896;0.127;2023-W52;1000;ST2K60
35.31;56.90;0.25;2024-W04;1000;ST2K60
53.50;86;2.50;2024-W04;2000;ST2K60
53.50;86;2.30;2024-W04;2000;ST2K60
61;105;0.70;2024-W04;1000;ST2K60
47.50;71.50;0.15;2024-W10;6000;ST2K60
33.25;80.40;1.90;2023-W04;2500;ST2K60
53.50;86;2.40;2024-W08;3500;ST2K60
61;105;0.30;2024-W04;2000;ST2K60
33.25;80.40;2.00;2024-W12;2500;ST2K60
16;25;0.30;2024-W12;14500;ST2K60
19;26;1.00;2024-W12;2000;ST2K60
0;24;0.80;2024-W12;1000;ST2K60
33.25;80.40;2.20;2023-W44;1000;ST2K60
38;50;0.25;2023-W44;2000;ST2K60
44.50;66;2.40;2023-W44;1000;ST2K60
61;105;0.30;2023-W44;1000;ST2K60
10.25;40.65;0.15;2023-W32;1000;ST2K60
39.60;62.70;2.10;2023-W36;5000;ST2K60
38;80.40;2.15;2023-W34;225;ST2K60
39.60;62.70;2.40;2023-W36;5000;ST2K60
38.61;63.50;0.127;2023-W46;5000;ST2K60
56;93.50;1.00;2023-W44;2000;ST2K60
44.50;66;2.70;2023-W40;1000;ST2K60
44.50;66;2.80;2023-W40;1000;ST2K60
44.50;66;3.00;2023-W40;1000;ST2K60
10.25;40.65;0.05;2023-W40;1000;ST2K60
53.50;86;1.80;2023-W42;2000;ST2K60
44.50;66;2.90;2024-W02;1000;ST2K60
44.50;66;2.20;2024-W01;1000;ST2K60
22;32;0.20;2023-W51;1000;ST2K60
51.56;82.55;0.38;2023-W51;500;ST2K60
51.56;82.55;0.38;2023-W51;500;ST2K60
39.60;62.70;2.00;2023-W51;1000;ST2K60
51.56;82.55;0.127;2023-W51;2000;ST2K60
51;90;0.60;2023-W51;2771;ST2K60
68;88.70;1.00;2023-W51;4000;ST2K60
52.50;80;2.10;2023-W51;1000;ST2K60
52.50;80;1.80;2023-W51;1000;ST2K60
52.50;80;2.00;2023-W51;1000;ST2K60
52.50;80;2.20;2023-W51;1000;ST2K60
52.50;80;2.50;2023-W51;1000;ST2K60
52.50;80;2.60;2023-W51;1000;ST2K60
51;80;2.40;2023-W51;1000;ST2K60
51;80;2.20;2023-W51;1000;ST2K60
61;105;0.70;2023-W51;1000;ST2K60
51;80;2.10;2023-W51;2250;ST2K60
51;80;2.60;2023-W51;2250;ST2K60
61;105;1.70;2023-W51;1000;ST2K60
22;32;0.20;2024-W03;2000;ST2K60
47.50;71.50;0.15;2023-W03;5000;ST2K60
35.31;56.90;0.127;2024-W14;1000;ST2K60
10.25;40.65;0.25;2023-W32;2000;ST2K60
61;105;1.70;2023-W46;2000;ST2K60
68;88.70;0.25;2023-W50;7000;ST2K60
61;105;1.50;2023-W40;1000;ST2K60
68;88.70;0.10;2023-W40;2850;ST2K60
44.50;66;2.60;2023-W40;900;ST2K60
61;105;1.50;2023-W40;1500;ST2K60
16;25;0.30;2023-W48;9500;ST2K60
35.31;56.90;0.127;2023-W52;1000;ST2K60
35.31;56.90;0.127;2024-W14;3000;ST2K60
35.31;56.90;0.25;2024-W14;3000;ST2K60
45.98;63.50;0.127;2024-W14;1000;ST2K60
61;105;1.70;2024-W14;5000;ST2K60
61;105;1.50;2024-W30;4850;ST2K60
